id,country,sector,sector_base_prob,country_multiplier,tariff_risk_prob,tariff_risk_pct
392,LAOS,Metals,0.3206,1,0.3206,32.10%
393,LAOS,Minerals,0.3199,1,0.3199,32.00%
394,LAOS,Pharmaceutical,0.3201,1,0.3201,32.00%
395,LAOS,Semiconductor,0.3201,1,0.3201,32.00%
396,LAOS,Steel & Aluminum,0.3208,1,0.3208,32.10%
397,LESOTHO,Aerospace,0.2174,1,0.2174,21.70%
398,LESOTHO,Agriculture,0.5263,1,0.5263,52.60%
399,LESOTHO,Automotive,0.262,1,0.262,26.20%
400,LESOTHO,Energy,0.3861,1,0.3861,38.60%
401,LESOTHO,Lumber,0.3205,1,0.3205,32.00%
402,LESOTHO,Maritime,0.2481,1,0.2481,24.80%
403,LESOTHO,Metals,0.3206,1,0.3206,32.10%
404,LESOTHO,Minerals,0.3199,1,0.3199,32.00%
405,LESOTHO,Pharmaceutical,0.3201,1,0.3201,32.00%
406,LESOTHO,Semiconductor,0.3201,1,0.3201,32.00%
407,LESOTHO,Steel & Aluminum,0.3208,1,0.3208,32.10%
408,LIBYA,Aerospace,0.2174,1,0.2174,21.70%
409,LIBYA,Agriculture,0.5263,1,0.5263,52.60%
410,LIBYA,Automotive,0.262,1,0.262,26.20%
411,LIBYA,Energy,0.3861,1,0.3861,38.60%
412,LIBYA,Lumber,0.3205,1,0.3205,32.00%
413,LIBYA,Maritime,0.2481,1,0.2481,24.80%
414,LIBYA,Metals,0.3206,1,0.3206,32.10%
415,LIBYA,Minerals,0.3199,1,0.3199,32.00%
416,LIBYA,Pharmaceutical,0.3201,1,0.3201,32.00%
417,LIBYA,Semiconductor,0.3201,1,0.3201,32.00%
418,LIBYA,Steel & Aluminum,0.3208,1,0.3208,32.10%
