date,XOM_baseline,XOM_impacted,CVX_baseline,CVX_impacted,COP_baseline,COP_impacted,PXD_baseline,PXD_impacted,EOG_baseline,EOG_impacted,MPC_baseline,MPC_impacted,VLO_baseline,VLO_impacted,PSX_baseline,PSX_impacted,SLB_baseline,SLB_impacted,HAL_baseline,HAL_impacted,OXY_baseline,OXY_impacted,DVN_baseline,DVN_impacted,HES_baseline,HES_impacted,BKR_baseline,BKR_impacted,FANG_baseline,FANG_impacted,APA_baseline,APA_impacted,MRO_baseline,MRO_impacted,OVV_baseline,OVV_impacted,CTRA_baseline,CTRA_impacted,RRC_baseline,RRC_impacted
2026-04-11,153.4885,194.3977,188.5899,238.8547,111.707,141.4803,101.079,128.0196,122.259,154.8446,204.0544,258.4409,211.901,268.3789,161.9883,205.163,52.6262,66.6526,36.1949,45.8419,51.9491,65.7951,45.5173,57.6489,101.079,128.0196,64.8829,82.1762,176.4104,223.429,29.8446,37.7991,101.079,128.0196,51.5003,65.2266,31.724,40.1793,39.7682,50.3676
2026-04-12,153.6179,194.3632,188.6862,238.7331,111.7312,141.3666,101.1012,127.9171,122.2423,154.6656,204.2061,258.3694,212.1347,268.401,162.1182,205.1182,52.6631,66.6314,36.2174,45.8236,51.9513,65.7308,45.5406,57.6197,101.1012,127.9171,64.9387,82.1629,176.4186,223.2116,29.8608,37.7811,101.1012,127.9171,51.5192,65.1841,31.7331,40.1499,39.7694,50.3178
2026-04-13,153.7474,194.3351,188.7826,238.6193,111.7553,141.2576,101.1233,127.8188,122.2256,154.4919,204.3578,258.3062,212.3686,268.4318,162.2482,205.0801,52.7,66.6123,36.2399,45.8068,51.9536,65.6688,45.5639,57.5923,101.1233,127.8188,64.9944,82.1523,176.4268,223.0017,29.8771,37.7643,101.1233,127.8188,51.5382,65.1438,31.7422,40.1219,39.7706,50.2697
2026-04-14,153.877,194.3131,188.879,238.5131,111.7795,141.1532,101.1455,127.7247,122.2089,154.3232,204.5097,258.2512,212.6028,268.4711,162.3783,205.0484,52.7369,66.5953,36.2624,45.7915,51.9558,65.6088,45.5872,57.5667,101.1455,127.7247,65.0503,82.1443,176.435,222.7989,29.8933,37.7488,101.1455,127.7247,51.5572,65.1055,31.7514,40.095,39.7718,50.2231
2026-04-15,154.0067,194.297,188.9755,238.4141,111.8037,141.0531,101.1676,127.6345,122.1922,154.1594,204.6617,258.204,212.8373,268.5185,162.5085,205.023,52.7739,66.5803,36.2849,45.7775,51.958,65.551,45.6105,57.5429,101.1676,127.6345,65.1061,82.1388,176.4432,222.6032,29.9096,37.7343,101.1676,127.6345,51.5761,65.0692,31.7605,40.0695,39.773,50.1782
2026-04-16,154.1365,194.2866,189.072,238.3223,111.8278,140.9572,101.1898,127.5481,122.1755,154.0003,204.8138,258.1645,213.072,268.5739,162.6388,205.0036,52.8109,66.5673,36.3074,45.765,51.9603,65.4951,45.6339,57.5208,101.1898,127.5481,65.1621,82.1357,176.4513,222.4141,29.9258,37.7211,101.1898,127.5481,51.5951,65.0348,31.7696,40.0451,39.7742,50.1347
2026-04-17,154.2665,194.2818,189.1686,238.2373,111.852,140.8655,101.2119,127.4654,122.1588,153.8457,204.966,258.1324,213.307,268.637,162.7692,204.9901,52.8479,66.5562,36.33,45.7537,51.9625,65.4411,45.6572,57.5003,101.2119,127.4654,65.218,82.135,176.4595,222.2316,29.9421,37.7088,101.2119,127.4654,51.6141,65.0024,31.7788,40.0219,39.7754,50.0928
2026-04-18,154.3965,194.2824,189.2652,238.1589,111.8762,140.7777,101.2341,127.3864,122.1421,153.6956,205.1183,258.1074,213.5422,268.7075,162.8997,204.9823,52.885,66.547,36.3526,45.7437,51.9647,65.389,45.6806,57.4815,101.2341,127.3864,65.2741,82.1366,176.4677,222.0554,29.9584,37.6977,101.2341,127.3864,51.6331,64.9717,31.7879,39.9998,39.7766,50.0522
2026-04-19,154.5267,194.2882,189.3619,238.0869,111.9004,140.6937,101.2563,127.3107,122.1254,153.5498,205.2707,258.0894,213.7777,268.7853,163.0303,204.98,52.922,66.5395,36.3751,45.7349,51.9669,65.3387,45.704,57.4642,101.2563,127.3107,65.3301,82.1403,176.4759,221.8853,29.9747,37.6875,101.2563,127.3107,51.6521,64.9428,31.7971,39.9788,39.7777,50.013
2026-04-20,154.6569,194.2991,189.4586,238.0212,111.9246,140.6134,101.2785,127.2385,122.1088,153.4081,205.4233,258.078,214.0135,268.8701,163.161,204.983,52.9591,66.5338,36.3977,45.7273,51.9692,65.2901,45.7274,57.4484,101.2785,127.2385,65.3862,82.1462,176.4841,221.721,29.991,37.6784,101.2785,127.2385,51.6711,64.9156,31.8062,39.9589,39.7789,49.9752
