"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2025","2025-Q1","2025-M01","2025-M02","2025-M03","2025-Q2","2025-M04","2025-M05","2025-M06","2025-Q3","2025-M07","2025-M08","2025-M09","2025-Q4","2025-M10","2025-M11","2025-M12","2026-M01"
"IMF.STA:ER(4.0.1)","SLE.XDC_USD.EOP_RT.M","OBS_VALUE","Sierra Leone","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","","","22.6082","22.6985","22.6732","","22.6909","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SLE.XDC_XDR.EOP_RT.M","OBS_VALUE","Sierra Leone","Domestic currency per SDR","End-of-period (EoP)","Monthly","Units","","","29.47714003343007","29.7124119695264","30.12577429718663","","30.77145271026213","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SLE.XDC_EUR.EOP_RT.M","OBS_VALUE","Sierra Leone","Domestic currency per Euro","End-of-period (EoP)","Monthly","Units","","","23.49670226","23.63140835","24.5210658","","25.80636057","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SLE.USD_XDC.EOP_RT.M","OBS_VALUE","Sierra Leone","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.04423173892658416","0.04405577461065709","0.04410493446006739","","0.04407053047697535","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SLE.XDR_XDC.EOP_RT.Q","OBS_VALUE","Sierra Leone","SDR per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.03319416756346699","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SLE.EUR_XDC.EOP_RT.Q","OBS_VALUE","Sierra Leone","Euros per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.04078126163667813","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SLE.USD_XDC.EOP_RT.Q","OBS_VALUE","Sierra Leone","US Dollar per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.04410493446006739","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SLE.XDC_XDR.EOP_RT.Q","OBS_VALUE","Sierra Leone","Domestic currency per SDR","End-of-period (EoP)","Quarterly","Units","","30.12577429718663","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SLE.EUR_XDC.EOP_RT.M","OBS_VALUE","Sierra Leone","Euros per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.04255916378965088","0.04231656383695811","0.04078126163667813","","0.03875013670709167","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SLE.XDC_EUR.EOP_RT.Q","OBS_VALUE","Sierra Leone","Domestic currency per Euro","End-of-period (EoP)","Quarterly","Units","","24.5210658","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SLE.XDC_USD.EOP_RT.Q","OBS_VALUE","Sierra Leone","Domestic currency per US Dollar","End-of-period (EoP)","Quarterly","Units","","22.6732","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SLE.XDR_XDC.EOP_RT.M","OBS_VALUE","Sierra Leone","SDR per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.03392459373147797","0.03365596845606538","0.03319416756346699","","0.03249765324425209","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","VNM.USD_XDC.PA_RT.Q","OBS_VALUE","Vietnam","US Dollar per domestic currency","Period average","Quarterly","Units","","0.00004072171364572408","","","","0.00004006872587862702","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","VNM.XDC_XDR.PA_RT.Q","OBS_VALUE","Vietnam","Domestic currency per SDR","Period average","Quarterly","Units","","32232.51583733615","","","","33823.36069165818","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","VNM.XDC_USD.PA_RT.Q","OBS_VALUE","Vietnam","Domestic currency per US Dollar","Period average","Quarterly","Units","","24556.92333333333","","","","24957.12","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","VNM.XDR_XDC.PA_RT.Q","OBS_VALUE","Vietnam","SDR per domestic currency","Period average","Quarterly","Units","","0.00003102457174136131","","","","0.00002956536487063596","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","MOZ.EUR_XDC.EOP_RT.Q","OBS_VALUE","Mozambique, Republic of","Euros per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.01447013617121644","","","","0.01335277497369503","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","MOZ.EUR_XDC.EOP_RT.M","OBS_VALUE","Mozambique, Republic of","Euros per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.01505532916271609","0.0150316513967636","0.01447013617121644","","0.0137580265530738","0.01379928000600655","0.01335277497369503","","0.01367242029457503","0.01342168776703622","","","","","",""
"IMF.STA:ER(4.0.1)","MOZ.XDR_XDC.EOP_RT.Q","OBS_VALUE","Mozambique, Republic of","SDR per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.01177805946791862","","","","0.01138967136150235","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","MOZ.XDR_XDC.EOP_RT.M","OBS_VALUE","Mozambique, Republic of","SDR per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.01200084493819434","0.01195524256651017","0.01177805946791862","","0.0115381161007667","0.01153306211860429","0.01138967136150235","","0.01155017214397496","0.01143249882647473","","","","","",""
"IMF.STA:ER(4.0.1)","MOZ.USD_XDC.PA_RT.Q","OBS_VALUE","Mozambique, Republic of","US Dollar per domestic currency","Period average","Quarterly","Units","","0.01564863596056544","","","","0.01564781973711663","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","MOZ.USD_XDC.EOP_RT.M","OBS_VALUE","Mozambique, Republic of","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.01564700359881083","0.01564945226917058","0.01564945226917058","","0.01564700359881083","0.01564700359881083","0.01564945226917058","","0.01564945226917058","0.01564700359881083","","","","","",""
"IMF.STA:ER(4.0.1)","MOZ.XDC_EUR.EOP_RT.Q","OBS_VALUE","Mozambique, Republic of","Domestic currency per Euro","End-of-period (EoP)","Quarterly","Units","","69.10785","","","","74.8908","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","MOZ.USD_XDC.EOP_RT.Q","OBS_VALUE","Mozambique, Republic of","US Dollar per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.01564945226917058","","","","0.01564945226917058","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","MOZ.XDR_XDC.PA_RT.Q","OBS_VALUE","Mozambique, Republic of","SDR per domestic currency","Period average","Quarterly","Units","","0.01192219544680157","","","","0.01154599977446661","","","","","","","","","","","",""
